_id,text
521,"2008년의 글로벌 금융위기 이후 재발 방지를 위해 미국에서 제정된 법으로, 금융 시스템의 안정성을 높이고 소비자를 보호하기 위한 다양한 개혁을 포함하고 있다."
737,"어음 거래의 투명성을 높이고, 분실 및 도난 사고를 예방하며, 어음 유통과 관리비용을 줄이며, 기존 어음 제도의 문제점을 보완하기 위해 도입되었다."
740,"이 채권은 이중으로 원리금 상환을 보장받기 때문에 발행 금리가 일반 채권보다 낮게 형성되며, 은행이 장기 고정금리 자금을 조달할 수 있도록 돕는다."
660,"특정 국가가 대미 무역에서 현저한 흑자를 기록하고 있으면서 외환 시장에서 자국 통화를 저평가하기 위한 조치를 취한 경우, 해당 국가를 지칭하는 개념이다."
411,"시장의 효율성을 높이기 위한 정부의 개입이 오히려 자원 배분에 부정적인 영향을 미치는 현상을 일컬으며, 이는 규제자의 정보 부족 및 경직성 등으로 인해 발생할 수 있다."
678,"고령층(66∼75세)은 상대적으로 빈곤율이 매우 높은 반면, 중년층은 비교적 낮은 빈곤율을 보이며, 연령대에 따라 소득 부족의 영향이 다르게 나타난다."
626,"신용이 좋은 기업이 단기자금을 조달하기 위해 자기 신용을 바탕으로 발행하는 융통어음으로, 일반적으로 상거래와 관계없이 운전자금을 확보하기 위해 사용된다."
513,"전문가에 의해 자산이 운용되므로 개인이 직접 투자하는 것보다 시간과 노력을 절약할 수 있고, 소액으로도 다양한 자산에 분산 투자할 수 있어 위험을 줄일 수 있다."
859,"한 나라의 국민이 생산활동을 통해 얻은 소득의 총합으로, 국외에서 발생한 소득을 포함하고 국내에서 외국인에게 지급된 소득은 제외한 개념이다."
136,"외환거래 정보를 효율적으로 수집하고 분석하여 외환거래의 변동성을 관리하기 위해 구축된 시스템으로, 외국환업무를 수행하는 기관에서 발생한 거래 관련 통계를 중심으로 정보를 통합하여 여러 정부 기관에 제공하는 역할을 한다."
811,"특정 기간 후에 채권 소유자가 이를 주식으로 변환할 수 있는 권리를 가진 사채의 일종으로, 주가 상승에 따른 이익을 취할 수 있는 장점이 있다."
76,"1988년 제정된 자본규제에 관한 지표로, 금융기관이 위험가중자산에 대해 유지해야 할 최소 자본 비율을 나타낸다. 이 비율은 금융기관의 안정성을 평가하는 중요한 기준으로, 시간이 지나면서 신용리스크 외에도 다양한 위험을 반영하여 변화해왔다."
636,스왑레이트가 내외금리차를 하회할 경우 외화로 자금을 차입하고 환스왑을 통해 원화를 조달하여 원화 자산에 투자함으로써 이익을 얻을 수 있는 기회가 생긴다.
973,"미국에서는 중개업자가 대출을 신청한 차입자의 어음을 산업대부회사로부터 매입해 투자자에게 제공하며, 이 어음은 증권으로 해석되어 규제된다."
938,"특정 요건을 만족하는 자본증권과 관련된 자본으로 구성되며, 주로 후순위성과 영구성을 가지며 배당 및 이자 지급에 대한 임의성이 요구된다."
899,"중앙은행 간의 통화스왑과 같은 양자 간 협력이 중요성이 높아졌으며, 인접 국가 간의 경제적 협력을 통한 다자간 금융협정도 발전하게 되었다."
280,"외국은행의 국내지점이 특정 주체들과의 여신한도에 대해 규제를 받으며, 대차대조표에는 나타나지 않는 자금의 종류로, 특정 조건 하에 외국은행의 자금을 보유 및 운용하는 방식으로 규정된다."
883,"처음에는 일반 회사채와 유사하게 발행되지만, 일정 기간 이후 주식으로 전환할 수 있는 권리가 발생하여 주가에 따라 투자자의 선택이 달라진다."
761,"차액결제 불이행 사태에 대비하기 위해 순신용한도 설정, 사전담보 제공, 손실공동분담제 등의 관리제를 도입하여 리스크를 통제하는 방식으로 운영된다."
319,"최종수요가 한 단위 증가할 때 이를 충족하기 위해 각 산업에서 직간접적으로 발생하는 생산액의 수준을 나타내며, 이 값이 클수록 국내 생산에 미치는 영향이 더 크다는 것을 의미한다."
549,"특정 조건이 충족되면 자동으로 거래가 실행되도록 작성된 컴퓨터 프로토콜 또는 코드로, 블록체인 기술을 활용하여 계약 이행 및 검증 과정을 자동화한 시스템이다."
174,"급료, 임금, 그리고 투자소득의 차이를 통해 그 나라가 외국인 근로자에게 지급하거나 해외 근로자가 받는 금액의 변동을 분석하며, 대외 금융자산과 부채의 보유로 생기는 수입과 지급의 차이를 포함하는 지표이다."
371,"거래를 효율적이고 검증 가능한 방식으로 기록하고, 중앙 기관 없이 참여자 간의 연결을 통해 저렴한 거래 비용을 가능하게 하며, 사기 행위와 같은 문제를 방지하는데 기여한다."
527,"정치 리스크, 경제구조, 경제성장률, 정부의 역할 및 재정수지, 공공부채 부담, 물가 안정, 경상수지 구조, 대외부채와 유동성 등 여러 경제적 요소를 포함한다."
210,"중앙예탁기관의 시스템을 통해 증권과 대금이 동시에 결제되는 방식으로, 거래 당사자 중 한쪽이 계약을 불이행할 경우 발생하는 리스크를 근본적으로 제거하여 증권결제 리스크를 관리하기에 효과적인 방법이다."
